title,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_href,analysis_url,duration_ms,time_signature
['Better Man'],['Pearl Jam'],['6TtyTD3kgyRiVPpY45gfkT'],0.434,0.71,2,-6.752,1,0.0379,0.0539,9.28e-06,0.0935,0.275,125.328,https://api.spotify.com/v1/tracks/6TtyTD3kgyRiVPpY45gfkT,https://api.spotify.com/v1/audio-analysis/6TtyTD3kgyRiVPpY45gfkT,268760,4
['Mind Dependancy'],['Blindspott'],['6apYf0FM2EtFxDQPGRu1SU'],0.541,0.624,2,-8.238,0,0.0352,0.000211,0.858,0.0338,0.451,147.959,https://api.spotify.com/v1/tracks/6apYf0FM2EtFxDQPGRu1SU,https://api.spotify.com/v1/audio-analysis/6apYf0FM2EtFxDQPGRu1SU,366933,4
['Thrash Metal Cassette'],['Dinosaur Pile-Up'],['2NSw8SOcQ6EVLf1QZFMH1h'],0.472,0.854,1,-6.024,0,0.0531,6.95e-05,0.0123,0.123,0.648,168.027,https://api.spotify.com/v1/tracks/2NSw8SOcQ6EVLf1QZFMH1h,https://api.spotify.com/v1/audio-analysis/2NSw8SOcQ6EVLf1QZFMH1h,219867,4
['Daughter'],['Pearl Jam'],['78Gj13Jr6kFnwBgIFkOFXl'],0.615,0.773,7,-6.603,1,0.0311,0.0238,0.00279,0.0638,0.633,96.95,https://api.spotify.com/v1/tracks/78Gj13Jr6kFnwBgIFkOFXl,https://api.spotify.com/v1/audio-analysis/78Gj13Jr6kFnwBgIFkOFXl,235693,4
['Immigrant Song - Remaster'],['Led Zeppelin'],['2uuMXKKmdXrY2XxsqTsGp0'],0.567,0.931,11,-10.361,1,0.0544,0.0119,0.159,0.342,0.623,112.948,https://api.spotify.com/v1/tracks/2uuMXKKmdXrY2XxsqTsGp0,https://api.spotify.com/v1/audio-analysis/2uuMXKKmdXrY2XxsqTsGp0,146747,4
['Lateralus'],['TOOL'],['7tvuLLroI0n6uYBWuFig5d'],0.387,0.677,0,-8.399,1,0.084,0.00108,0.871,0.101,0.371,172.812,https://api.spotify.com/v1/tracks/7tvuLLroI0n6uYBWuFig5d,https://api.spotify.com/v1/audio-analysis/7tvuLLroI0n6uYBWuFig5d,562707,3
['Shutting Down Our Town'],['Jimmy Barnes'],['2KH012SonMsRafqnENDo4s'],0.59,0.823,0,-3.563,1,0.0266,0.000312,0.000198,0.0827,0.745,109.993,https://api.spotify.com/v1/tracks/2KH012SonMsRafqnENDo4s,https://api.spotify.com/v1/audio-analysis/2KH012SonMsRafqnENDo4s,284733,4
['Fade To Black - Remastered'],['Metallica'],['5nekfiTN45vlxG0eNJQQye'],0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,https://api.spotify.com/v1/tracks/5nekfiTN45vlxG0eNJQQye,https://api.spotify.com/v1/audio-analysis/5nekfiTN45vlxG0eNJQQye,417227,4
['DREAMS'],['Villainy'],['4xl1G9Us2ZVk21CbZ9tuUc'],0.589,0.62,5,-8.201,1,0.0349,0.00221,0.0,0.12,0.636,76.508,https://api.spotify.com/v1/tracks/4xl1G9Us2ZVk21CbZ9tuUc,https://api.spotify.com/v1/audio-analysis/4xl1G9Us2ZVk21CbZ9tuUc,221248,4
['Quiet Heart'],['Joyous Wolf'],['0dzglh5h1n8Jggd7rBbR8P'],0.375,0.969,7,-5.704,1,0.06,3.87e-05,0.000113,0.326,0.558,179.048,https://api.spotify.com/v1/tracks/0dzglh5h1n8Jggd7rBbR8P,https://api.spotify.com/v1/audio-analysis/0dzglh5h1n8Jggd7rBbR8P,207455,4
['Do Not Disturb'],['Halestorm'],['6oIjJi274wP86uqFxQRlKV'],0.696,0.821,2,-2.981,0,0.0483,0.014,0.0,0.0421,0.604,127.006,https://api.spotify.com/v1/tracks/6oIjJi274wP86uqFxQRlKV,https://api.spotify.com/v1/audio-analysis/6oIjJi274wP86uqFxQRlKV,203880,4
['On the Turning Away'],['Pink Floyd'],['7KA6U0WOHdGxWWLGPYN2Sb'],0.448,0.402,7,-12.135,1,0.03,0.365,0.000746,0.076,0.244,100.454,https://api.spotify.com/v1/tracks/7KA6U0WOHdGxWWLGPYN2Sb,https://api.spotify.com/v1/audio-analysis/7KA6U0WOHdGxWWLGPYN2Sb,341667,4
['Run Like Hell'],['Pink Floyd'],['0EaLRxrtnq7Mqhdf8q9txr'],0.717,0.499,9,-15.449,1,0.0354,0.0233,0.445,0.86,0.419,116.974,https://api.spotify.com/v1/tracks/0EaLRxrtnq7Mqhdf8q9txr,https://api.spotify.com/v1/audio-analysis/0EaLRxrtnq7Mqhdf8q9txr,263573,4
['Are You In?'],['Incubus'],['1MvJno497VkQR3RsiJcRVm'],0.526,0.587,2,-8.733,1,0.039,0.24,0.243,0.886,0.364,93.986,https://api.spotify.com/v1/tracks/1MvJno497VkQR3RsiJcRVm,https://api.spotify.com/v1/audio-analysis/1MvJno497VkQR3RsiJcRVm,264200,4
['Ziggy Stardust - 1997 Remaster'],['David Bowie'],['3PPJVaa7maBPrYA4OS6gyG'],0.467,0.513,7,-14.531,1,0.0825,0.0277,2.66e-06,0.229,0.448,80.966,https://api.spotify.com/v1/tracks/3PPJVaa7maBPrYA4OS6gyG,https://api.spotify.com/v1/audio-analysis/3PPJVaa7maBPrYA4OS6gyG,198747,4
['Calling On'],['Weta'],['5tbduT3dplB5Cu6tcjXmjk'],0.547,0.708,10,-7.213,1,0.0398,0.0137,0.0341,0.177,0.705,119.405,https://api.spotify.com/v1/tracks/5tbduT3dplB5Cu6tcjXmjk,https://api.spotify.com/v1/audio-analysis/5tbduT3dplB5Cu6tcjXmjk,326867,4
['Everything Zen - Remastered'],['Bush'],['5l2DXYLyBVZWhdpgqa3a9k'],0.48,0.848,0,-4.44,1,0.0455,0.000316,0.00523,0.152,0.354,134.227,https://api.spotify.com/v1/tracks/5l2DXYLyBVZWhdpgqa3a9k,https://api.spotify.com/v1/audio-analysis/5l2DXYLyBVZWhdpgqa3a9k,278133,4
['Canals'],['Highly Suspect'],['5yIHw5bnDscFViNtQRPlNn'],0.37,0.924,7,-2.283,1,0.0846,0.0077,0.0,0.183,0.282,159.723,https://api.spotify.com/v1/tracks/5yIHw5bnDscFViNtQRPlNn,https://api.spotify.com/v1/audio-analysis/5yIHw5bnDscFViNtQRPlNn,273899,4
['16'],['Highly Suspect'],['7jHJ2MzIKO1kIMxGamKRKn'],0.534,0.621,2,-5.205,1,0.0449,0.00124,1.39e-05,0.0596,0.186,91.845,https://api.spotify.com/v1/tracks/7jHJ2MzIKO1kIMxGamKRKn,https://api.spotify.com/v1/audio-analysis/7jHJ2MzIKO1kIMxGamKRKn,278656,4
['Under the Graveyard'],['Ozzy Osbourne'],['0C4bx13JIMSWOAxd8TaoVq'],0.496,0.88,1,-2.242,0,0.0359,0.00151,2.92e-05,0.0592,0.148,140.009,https://api.spotify.com/v1/tracks/0C4bx13JIMSWOAxd8TaoVq,https://api.spotify.com/v1/audio-analysis/0C4bx13JIMSWOAxd8TaoVq,297682,4
['Ashes to Ashes - 2017 Remaster'],['David Bowie'],['37CRPk0L5ZpfPeePEPwE0t'],0.71,0.743,1,-10.553,1,0.0507,0.273,0.000406,0.258,0.866,120.277,https://api.spotify.com/v1/tracks/37CRPk0L5ZpfPeePEPwE0t,https://api.spotify.com/v1/audio-analysis/37CRPk0L5ZpfPeePEPwE0t,266160,4
['Right Now'],['Van Halen'],['5HbZJ6ZEuLrYu1Kz5kD1A8'],0.542,0.765,5,-8.373,1,0.0278,0.115,0.00757,0.147,0.315,93.904,https://api.spotify.com/v1/tracks/5HbZJ6ZEuLrYu1Kz5kD1A8,https://api.spotify.com/v1/audio-analysis/5HbZJ6ZEuLrYu1Kz5kD1A8,321667,4
['Iron Man'],['Black Sabbath'],['0TI8TP4FitVPoEHPTySx48'],0.332,0.769,9,-11.503,1,0.0765,0.00367,0.00413,0.0372,0.525,157.378,https://api.spotify.com/v1/tracks/0TI8TP4FitVPoEHPTySx48,https://api.spotify.com/v1/audio-analysis/0TI8TP4FitVPoEHPTySx48,354774,4
['Breaking the Habit'],['Linkin Park'],['3dxiWIBVJRlqh9xk144rf4'],0.579,0.849,4,-5.218,0,0.0303,0.108,0.0,0.0909,0.581,100.021,https://api.spotify.com/v1/tracks/3dxiWIBVJRlqh9xk144rf4,https://api.spotify.com/v1/audio-analysis/3dxiWIBVJRlqh9xk144rf4,196907,4
['Another Way to Die'],['Disturbed'],['3EZAnO8lnPCBCcJcwAZbEB'],0.621,0.967,6,-2.35,1,0.0692,8.46e-05,0.00612,0.12,0.315,112.017,https://api.spotify.com/v1/tracks/3EZAnO8lnPCBCcJcwAZbEB,https://api.spotify.com/v1/audio-analysis/3EZAnO8lnPCBCcJcwAZbEB,253387,4
